dataset,title,publisher_name,distribution_link,publication_year,publisher_short,file_forma,file_format
https://www.datenportal.bmbf.de/portal/1.5.1,Interne FuE-Aufwendungen des Wirtschaftssektors sowie Anteil der eigenfinanzierten internen FuE-Aufwendungen nach der Wirtschaftsgliederung,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-1.5.1.csv,,BMBF,csv,csv
https://www.datenportal.bmbf.de/portal/1.5.1,Interne FuE-Aufwendungen des Wirtschaftssektors sowie Anteil der eigenfinanzierten internen FuE-Aufwendungen nach der Wirtschaftsgliederung,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-1.5.1.html,,BMBF,html,html
https://www.datenportal.bmbf.de/portal/1.5.1,Interne FuE-Aufwendungen des Wirtschaftssektors sowie Anteil der eigenfinanzierten internen FuE-Aufwendungen nach der Wirtschaftsgliederung,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-1.5.1.pdf,,BMBF,pdf,pdf
https://www.datenportal.bmbf.de/portal/2.5.78a,"Studienabbruchquoten für deutsche Studierende im Erststudium nach Hochschularten, ausgewählten Abschlussarten und Geschlecht",Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.5.78a.xls,,BMBF,xls,xls
https://www.datenportal.bmbf.de/portal/2.5.78a,"Studienabbruchquoten für deutsche Studierende im Erststudium nach Hochschularten, ausgewählten Abschlussarten und Geschlecht",Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.5.78a.html,,BMBF,html,html
https://www.datenportal.bmbf.de/portal/2.5.78a,"Studienabbruchquoten für deutsche Studierende im Erststudium nach Hochschularten, ausgewählten Abschlussarten und Geschlecht",Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.5.78a.pdf,,BMBF,pdf,pdf
https://www.datenportal.bmbf.de/portal/2.5.78a,"Studienabbruchquoten für deutsche Studierende im Erststudium nach Hochschularten, ausgewählten Abschlussarten und Geschlecht",Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.5.78a.csv,,BMBF,csv,csv
https://www.datenportal.bmbf.de/portal/1.8.5,Patentanmeldungen (DPMA) nach Bundesländern,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-1.8.5.csv,,BMBF,csv,csv
https://www.datenportal.bmbf.de/portal/1.8.5,Patentanmeldungen (DPMA) nach Bundesländern,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-1.8.5.pdf,,BMBF,pdf,pdf
https://www.datenportal.bmbf.de/portal/1.8.5,Patentanmeldungen (DPMA) nach Bundesländern,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-1.8.5.html,,BMBF,html,html
https://www.datenportal.bmbf.de/portal/1.8.5,Patentanmeldungen (DPMA) nach Bundesländern,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-1.8.5.xls,,BMBF,xls,xls
https://www.datenportal.bmbf.de/portal/2.3.26,Hauptberufliche Lehrer/-innen nach Schularten und Ländern,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.3.26.html,,BMBF,html,html
https://www.datenportal.bmbf.de/portal/2.3.26,Hauptberufliche Lehrer/-innen nach Schularten und Ländern,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.3.26.csv,,BMBF,csv,csv
https://www.datenportal.bmbf.de/portal/2.3.26,Hauptberufliche Lehrer/-innen nach Schularten und Ländern,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.3.26.xls,,BMBF,xls,xls
https://www.datenportal.bmbf.de/portal/2.3.26,Hauptberufliche Lehrer/-innen nach Schularten und Ländern,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.3.26.pdf,,BMBF,pdf,pdf
https://www.datenportal.bmbf.de/portal/0.15,Prognose der Bevölkerungsentwicklung nach Alter 1),Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-0.15.xls,,BMBF,xls,xls
https://www.datenportal.bmbf.de/portal/0.15,Prognose der Bevölkerungsentwicklung nach Alter 1),Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-0.15.pdf,,BMBF,pdf,pdf
https://www.datenportal.bmbf.de/portal/0.15,Prognose der Bevölkerungsentwicklung nach Alter 1),Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-0.15.html,,BMBF,html,html
https://www.datenportal.bmbf.de/portal/0.15,Prognose der Bevölkerungsentwicklung nach Alter 1),Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-0.15.csv,,BMBF,csv,csv
https://www.datenportal.bmbf.de/portal/2.5.92,Hochschulzugangsberechtigte im Tertiärbereich nach Art der Hochschulreife,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.5.92.xls,,BMBF,xls,xls
